Statistiska tätorter 2023, befolkning, landareal, befolkningstäthet;;;;;;;;;;;;;;;;;;;;;;;;
Källa: SCB, www.scb.se/MI0810. Publicerad 2024-11-28;;;;;;;;;;;;;;;;;;;;;;;;
Statistisk tätort: Bebyggelseområde med minst 200 folkbokförda invånare och tät bebyggelse;;;;;;;;;;;;;;;;;;;;;;;;
Befolkning: Befolkning folkbokförd på adress inom statistiska tätorter 2023;;;;;;;;;;;;;;;;;;;;;;;;
Befolkningstäthet: Antal folkbokförda invånare dividerat med tätortens landareal i kvadratkilometer;;;;;;;;;;;;;;;;;;;;;;;;
Kommun och län avser tätorterns mest ursprungliga del eller den ytmässigt största delen av tätorten;;;;;;;;;;;;;;;;;;;;;;;;
Preliminära tätortsbeteckningar avser nya tätorter och tätorter med stor förändring i yta. Lantmäteriet utreder och fastställer definitiva beteckningar. ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Länskod;Länsnamn;Kommunkod ;Kommunnamn;Tätortskod;Tätortsbeteckning;"Ny
2023";"Befolkning 
2020-12-30";"Befolkning 
2023-12-31";"Skillnad 
befolkning 
2020-2023";"Landareal 
i hektar
2020";"Landareal 
i hektar
2023";"Skillnad 
i landareal
2020-2023";"Befolknings-
täthet
2020-12-30";"Befolknings-
täthet
2023-12-31";"Skillnad
befolknings-täthet 
2020-2023";;;;;;;;;
01;Stockholm;0182;Nacka;0182TB104;Kil;;1 017;1 008;-9;94;93;-1;1 088;1 081;-7;;;;;;;;;
01;Stockholm;0182;Nacka;0182TB106;Saltsjöbaden;;9 517;9 409;-108;526;531;5;1 808;1 773;-35;;;;;;;;;
01;Stockholm;0182;Nacka;0182TB108;Älgö;;1 053;1 040;-13;201;202;1;525;516;-9;;;;;;;;;
01;Stockholm;0186;Lidingö;0186TB103;Sticklinge udde;;3 064;3 000;-64;132;133;1;2 330;2 260;-70;;;;;;;;;
01;Stockholm;0186;Lidingö;0186TB107;Storholmen;;231;201;-30;36;36;0;650;562;-88;;;;;;;;;
01;Stockholm;0186;Lidingö;0186TC102;Lidingö;;44 091;44 642;551;1 676;1 769;93;2 631;2 523;-108;;;;;;;;;
01;Stockholm;0187;Vaxholm;0187TB102;Rindö;;1 390;1 442;52;186;195;9;748;740;-8;;;;;;;;;
01;Stockholm;0187;Vaxholm;0187TB103;Resarö;;3 212;3 239;27;350;346;-4;918;937;19;;;;;;;;;
01;Stockholm;0187;Vaxholm;0187TB105;Tynningö;;353;332;-21;459;462;3;77;72;-5;;;;;;;;;
01;Stockholm;0187;Vaxholm;0187TB106;Skarpö;;257;252;-5;103;105;2;249;240;-9;;;;;;;;;
01;Stockholm;0187;Vaxholm;0187TC104;Vaxholm;;6 151;6 025;-126;229;232;3;2 683;2 594;-89;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB101;Bergshamra;;658;643;-15;261;271;10;252;237;-15;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB102;Blidö;;280;273;-7;533;540;7;53;51;-2;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB103;Edsbro;;591;574;-17;151;155;4;391;370;-21;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB104;Finsta;;248;249;1;44;44;0;565;564;-1;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB105;Grisslehamn;;410;368;-42;456;468;12;90;79;-11;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB106;Hallstavik;;4 741;4 598;-143;494;520;26;960;885;-75;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB107;Herräng;;350;320;-30;188;200;12;187;160;-27;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB108;Nabbo, Gräddö och Rävsnäs;;579;653;74;584;606;22;99;108;9;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB110;Riala;;361;428;67;130;151;21;277;283;6;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB111;Rimbo;;5 223;5 346;123;347;359;12;1 505;1 489;-16;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB112;Rånäs;;423;452;29;49;52;3;857;872;15;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB113;Skebobruk;;231;205;-26;95;94;-1;244;219;-25;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB114;Spillersboda;;493;485;-8;406;411;5;122;118;-4;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB115;Nysättra;;268;268;0;139;146;7;193;184;-9;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB116;Svanberga;;563;585;22;95;95;0;595;616;21;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB117;Söderby-Karl;;302;293;-9;86;88;2;350;333;-17;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB118;Södersvik;;438;488;50;291;317;26;151;154;3;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB119;Sättra;;376;339;-37;177;185;8;212;183;-29;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB120;Älmsta;;1 532;1 513;-19;251;243;-8;610;624;14;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB122;Hästängen och Mora;;743;740;-3;244;248;4;305;298;-7;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB132;Baltora (preliminär);1;;263;;;135;0;;195;0;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB138;Oxhalsö;;224;208;-16;350;334;-16;64;62;-2;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB147;Hattudden, Björnösund och Björknäs;;343;340;-3;394;398;4;87;85;-2;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB172;Malstaby;;219;224;5;57;59;2;385;382;-3;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB187;Husby;;211;205;-6;50;53;3;421;389;-32;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB197;Rö (preliminär);1;;204;;;100;0;;205;0;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TB223;Tranvik, Ekebyholmshöjden och Brohägnaden (preliminär);;235;493;258;39;108;69;602;457;-145;;;;;;;;;
01;Stockholm;0188;Norrtälje;0188TC109;Norrtälje;;22 018;23 606;1 588;1 092;1 134;42;2 016;2 082;66;;;;;;;;;
01;Stockholm;0191;Sigtuna;0191TB101;Granby;;299;305;6;52;49;-3;580;622;42;;;;;;;;;
01;Stockholm;0191;Sigtuna;0191TB103;Rosersberg;;1 829;1 833;4;314;378;64;582;485;-97;;;;;;;;;
01;Stockholm;0191;Sigtuna;0191TB104;Sigtuna;;9 689;10 407;718;561;560;-1;1 729;1 858;129;;;;;;;;;
01;Stockholm;0191;Sigtuna;0191TB105;Steningehöjden (preliminär);;1 482;1 467;-15;47;39;-8;3 166;3 726;560;;;;;;;;;
01;Stockholm;0191;Sigtuna;0191TB125;Steninge;;409;1 929;1 520;22;50;28;1 866;3 881;2 015;;;;;;;;;
01;Stockholm;0191;Sigtuna;0191TB129;Venngarn;;415;387;-28;29;35;6;1 422;1 104;-318;;;;;;;;;
01;Stockholm;0191;Sigtuna;0191TC102;Märsta;;29 815;30 576;761;675;695;20;4 417;4 397;-20;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TB101;Landfjärden;;280;283;3;129;127;-2;218;223;5;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TB102;Lidatorp och Klövsta;;402;453;51;42;64;22;949;703;-246;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TB104;Sorunda;;1 319;1 251;-68;121;126;5;1 088;991;-97;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TB105;Segersäng;;765;801;36;82;85;3;930;945;15;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TB106;Stora Vika;;748;697;-51;51;53;2;1 472;1 326;-146;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TB107;Grödby;;579;589;10;105;100;-5;549;589;40;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TB108;Oxnö och Svärdsö;;336;332;-4;394;382;-12;85;87;2;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TB109;Ösmo;;3 981;3 988;7;213;219;6;1 867;1 818;-49;;;;;;;;;
01;Stockholm;0192;Nynäshamn;0192TC103;Nynäshamn;;15 108;16 447;1 339;745;755;10;2 027;2 177;150;;;;;;;;;
03;Uppsala;0305;Håbo;0305TB102;Vibyäng;;484;573;89;20;24;4;2 396;2 383;-13;;;;;;;;;
