Taxon id;Global sorteringsordning;Vetenskapligt namn;Auktor;Svenskt namn;Taxonstatus;Taxonkategori;Svensk förekomst;Svensk invandringshistoria;Rike;Fylum;Klass;Ordning;Familj;Släkte;Småart;Art;Andra identifierare;Andra vetenskapliga namn;Andra svenska namn;Andra namn;Webbadress
6010576;56330;Sus scrofa;Linnaeus, 1758;vildsvin;Accepterat;Art;Bofast och reproducerande;Återinförd;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;;;GUID: urn:lsid:faunaeur.org:taxname:305279, Id för taxonid.org: 06950f;;vildsvin, vildsvin/tamsvin;;https://dyntaxa.se/taxon/6010576
206041;56331;Sus scrofa scrofa;Linnaeus, 1758;eurasiatiskt vildsvin;Accepterat;Underart;Bofast och reproducerande;Återinförd;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;;Sus scrofa;GUID: urn:lsid:faunaeur.org:taxname:305279, Id för taxonid.org: 9960ea;;vildsvin;;https://dyntaxa.se/taxon/206041
6037370;56332;Sus scrofa, wild forms;;vildsvin;Accepterat;Artkomplex;Bofast och reproducerande;Återinförd;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;;Sus scrofa;;;;;https://dyntaxa.se/taxon/6037370
233624;56333;Sus scrofa, domestic forms;;tamsvin;Accepterat;Artkomplex;Tillfällig, ej reproducerande;Aktivt införd, men ej bofast, före år 1800;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;;Sus scrofa;GUID: urn:lsid:faunaeur.org:taxname:305279;sus domesticus, sus scrofa domesticus;;;https://dyntaxa.se/taxon/233624
6037369;56334;Sus scrofa, hampshire breed;;hampshiresvin;Accepterat;Population;Påträffad, okänt om reproducerande;;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;;Sus scrofa;;;;;https://dyntaxa.se/taxon/6037369
6037368;56335;Sus scrofa, linderödssvin breed;;linderödssvin;Accepterat;Population;Påträffad, okänt om reproducerande;;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;;Sus scrofa;;;;;https://dyntaxa.se/taxon/6037368
6011593;56336;Sus scrofa, pot-bellied pig breed;;hängbukssvin;Accepterat;Population;Påträffad, okänt om reproducerande;;Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;;Sus scrofa;;sus scrofa bittatus;;;https://dyntaxa.se/taxon/6011593
3000303;56337;Carnivora;Bowdich, 1821;rovdjur;Accepterat;Ordning;;;Animalia;Chordata;Mammalia;;;;;;GUID: urn:lsid:marinespecies.org:taxname:2687, Id för taxonid.org: d56423;;;;https://dyntaxa.se/taxon/3000303
2002151;56338;Feliformia;Kretzoi, 1945;kattartade rovdjur;Accepterat;Underordning;;;Animalia;Chordata;Mammalia;Carnivora;;;;;Id för taxonid.org: 36d5c6;feloidea;;;https://dyntaxa.se/taxon/2002151
2002152;56339;Felidae;Fischer de Waldheim, 1817;kattdjur;Accepterat;Familj;;;Animalia;Chordata;Mammalia;Carnivora;;;;;GUID: urn:lsid:faunaeur.org:taxname:12641, Id för taxonid.org: 21b8f9;;;;https://dyntaxa.se/taxon/2002152
